time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1684594520211378000,0.1693779296875,0.21294556558132172,0.13046763837337494,0.09241117537021637,0.9638944864273071,0.21996960043907166,-0.23589599132537842,-0.4086892306804657
1684594520228261600,0.18626171875,0.22479866445064545,0.12832745909690857,0.10700047016143799,0.9599732160568237,0.20699207484722137,-0.26626598834991455,-0.43223491311073303
1684594520245135400,0.20313525390625,0.23643527925014496,0.12601861357688904,0.11721311509609222,0.9562838673591614,0.19477801024913788,-0.2877219021320343,-0.45646238327026367
1684594520261993700,0.21999365234375,0.24710522592067719,0.11775584518909454,0.12709331512451172,0.9533728957176208,0.1703810840845108,-0.3052491545677185,-0.48094916343688965
1684594520278880800,0.236880859375,0.2581316828727722,0.10187837481498718,0.14031276106834412,0.9504215717315674,0.12826399505138397,-0.3249998092651367,-0.509343147277832
1684594520295752000,0.253751953125,0.2705484628677368,0.08691113442182541,0.15688765048980713,0.9458521604537964,0.08478257805109024,-0.35097381472587585,-0.5421538949012756
1684594520312623900,0.270623779296875,0.28288304805755615,0.07180846482515335,0.17698442935943604,0.9399453997612,0.03758615627884865,-0.38260480761528015,-0.5773887634277344
1684594520329494800,0.287494873046875,0.2921941578388214,0.04839559644460678,0.20203661918640137,0.9335212111473083,-0.03031999245285988,-0.4175178110599518,-0.6131083369255066
1684594520346371600,0.30437158203125,0.29583612084388733,0.02432115562260151,0.22577528655529022,0.9278551340103149,-0.09830526262521744,-0.44822177290916443,-0.6397232413291931
1684594520363242200,0.3212421875,0.29580098390579224,0.0182158462703228,0.23562194406986237,0.9255551099777222,-0.11840642988681793,-0.46334031224250793,-0.646631121635437
1684594520380103400,0.338103515625,0.2954615652561188,0.012708283960819244,0.24096344411373138,0.9243795871734619,-0.13376303017139435,-0.4701197147369385,-0.6508183479309082
1684594520396987400,0.3549873046875,0.29997435212135315,0.004683171398937702,0.24483902752399445,0.9219801425933838,-0.15582333505153656,-0.4715673327445984,-0.6666213274002075
1684594520413859300,0.371859375,0.3054434359073639,-0.005479605868458748,0.2515549957752228,0.9183650612831116,-0.18532298505306244,-0.476521760225296,-0.6873032450675964
1684594520430732800,0.38873291015625,0.3085935711860657,-0.014533145353198051,0.25981414318084717,0.9149073958396912,-0.2129523754119873,-0.48526424169540405,-0.7035186886787415
1684594520447604700,0.405604736328125,0.31094151735305786,-0.017806775867938995,0.26530322432518005,0.9124760627746582,-0.22607658803462982,-0.49279698729515076,-0.7139396667480469
1684594520464478000,0.42247802734375,0.315793514251709,-0.013088945299386978,0.26581987738609314,0.9107376337051392,-0.21976561844348907,-0.49600696563720703,-0.7234026789665222
1684594520481349600,0.439349609375,0.3246678411960602,-0.0023886023554950953,0.26024550199508667,0.9093170762062073,-0.19786715507507324,-0.4912635385990143,-0.7356321215629578
1684594520498222800,0.456222900390625,0.3332690894603729,-0.0012376433005556464,0.2463996857404709,0.9100644588470459,-0.18727734684944153,-0.4641403555870056,-0.7464548945426941
1684594520515095000,0.473094970703125,0.33609792590141296,-0.010558891110122204,0.22206702828407288,0.9152120351791382,-0.18495583534240723,-0.41083958745002747,-0.7425341010093689
1684594520531957500,0.48995751953125,0.33269283175468445,-0.015813663601875305,0.18523788452148438,0.924528181552887,-0.16237691044807434,-0.3384157419204712,-0.7186482548713684
1684594520548840400,0.50684033203125,0.3259642720222473,-0.01012310478836298,0.14356964826583862,0.9343621134757996,-0.11684267967939377,-0.26477542519569397,-0.6868998408317566
1684594520565718800,0.52371875,0.31300607323646545,0.007257672492414713,0.11753107607364655,0.9424229860305786,-0.061526983976364136,-0.22804273664951324,-0.6483809351921082
1684594520582585300,0.54058544921875,0.29627394676208496,0.04635800048708916,0.10983353853225708,0.9476336240768433,0.023441312834620476,-0.23787009716033936,-0.6032347083091736
1684594520599443200,0.557443115234375,0.2793552279472351,0.09316092729568481,0.11569856107234955,0.9486282467842102,0.116750568151474,-0.27501338720321655,-0.5566020607948303
1684594520616339700,0.574339599609375,0.26312264800071716,0.1314631551504135,0.13161006569862366,0.946658730506897,0.1906551569700241,-0.3240005373954773,-0.510959804058075
1684594520633206300,0.591206298828125,0.25664860010147095,0.1636529266834259,0.14314334094524384,0.9417320489883423,0.25368615984916687,-0.3614254295825958,-0.4855419099330902
1684594520650073900,0.608073974609375,0.2635774612426758,0.18269261717796326,0.1418652981519699,0.9364959001541138,0.29094117879867554,-0.3704338073730469,-0.4938209354877472
1684594520666951200,0.624951171875,0.267690509557724,0.18135887384414673,0.1409766674041748,0.9357224106788635,0.28692352771759033,-0.3692607879638672,-0.5033310651779175
1684594520683821000,0.641821044921875,0.2680569589138031,0.17690542340278625,0.134806290268898,0.9373778700828552,0.28028517961502075,-0.35497862100601196,-0.5064646601676941
1684594520700694000,0.658694091796875,0.27382874488830566,0.17992979288101196,0.12291865050792694,0.9367679357528687,0.289710134267807,-0.33506694436073303,-0.5194470286369324
1684594520717563400,0.6755634765625,0.28281325101852417,0.18786001205444336,0.11832158267498016,0.93312668800354,0.3048803508281708,-0.33320844173431396,-0.5369036197662354
1684594520734448600,0.69244873046875,0.29046815633773804,0.20967236161231995,0.11628445982933044,0.9263604879379272,0.34785372018814087,-0.3439931273460388,-0.5466732382774353
1684594520751311600,0.7093115234375,0.2965511083602905,0.24396167695522308,0.11299657076597214,0.9163907170295715,0.4181455373764038,-0.35948503017425537,-0.5488771796226501
1684594520768184600,0.7261845703125,0.30205920338630676,0.27562859654426575,0.11049620807170868,0.90585857629776,0.483635276556015,-0.37545961141586304,-0.5500726103782654
