time,seconds_elapsed,bearingAccuracy,speedAccuracy,verticalAccuracy,horizontalAccuracy,speed,bearing,altitude,longitude,latitude
1683885689653000000,-2.813,0,0,1.3872483968734741,15.432999610900879,0,0,336.1999816894531,10.9948521,49.5711075
1683885693742000000,1.276000244140625,0,0,0.9985964894294739,14.777000427246094,0.7706207633018494,261.2085266113281,336.29998779296875,10.9948344,49.5711057
1683885699758867200,7.2928671875,0,0,1.0683834552764893,14.062000274658203,0.21403641998767853,264.04620361328125,336.29998779296875,10.9948121,49.5711039
1683885700265043500,7.79904345703125,0,0,1.0683834552764893,15.027999877929688,0.19459867477416992,266.86016845703125,336.29998779296875,10.9948113,49.5711042
1683885700771219200,8.30521923828125,0,0,1.0829685926437378,16.656999588012695,0.16915176808834076,270.4580383300781,336.29998779296875,10.9948108,49.5711047
1683885701277389600,8.8113896484375,0,0,1.0829685926437378,17.354000091552734,0.1448209136724472,275.36309814453125,336.29998779296875,10.9948113,49.5711052
1683885702289729000,9.82372900390625,0,0,1.0942832231521606,18.594999313354492,0.11593659967184067,283.7967834472656,336.29998779296875,10.9948123,49.5711059
1683885702795901200,10.329901123046875,0,0,1.0942832231521606,19.875999450683594,0.0934087261557579,0,336.29998779296875,10.9948135,49.5711066
1683885703302071600,10.836071533203125,0,0,1.1058577299118042,21.20599937438965,0.07607819885015488,0,336.29998779296875,10.9948147,49.5711073
1683885703808234200,11.342234130859374,0,0,1.00169038772583,21.489999771118164,0.06648436933755875,0,336.29998779296875,10.994816,49.5711077
1683885704314415000,11.8484150390625,0,0,1.00169038772583,21.915000915527344,0.013352291658520699,0,336.29998779296875,10.9948177,49.5711052
1683885704820588000,12.354588134765624,0,0,1.013657569885254,21.284000396728516,0.032671187072992325,0,338.1269679226654,10.9948181,49.5711035
1683885705832931600,13.366931640625,0,0,1.024160385131836,20.597999572753906,0.04571246728301048,0,336.29998779296875,10.9948183,49.5711024
1683885707351435000,14.88543505859375,0,0,1.0369315147399902,19.768999099731445,0.031478650867938995,0,336.29998779296875,10.9948181,49.5711029
1683885708363788000,15.8977880859375,0,0,1.046988606452942,18.424999237060547,0.026750408113002777,0,336.29998779296875,10.9948175,49.571103
1683885708869960400,16.40396044921875,0,0,0.9898422360420227,17.444000244140625,0.026524202898144722,0,336.29998779296875,10.9948169,49.5711031
1683885709882302000,17.416302001953124,0,0,0.9998986721038818,16.23900032043457,0.059328123927116394,0,336.29998779296875,10.9948151,49.5711004
1683885711400812500,18.9348125,0,0,1.0146968364715576,15.861000061035156,0.08053044974803925,0,336.29998779296875,10.9948137,49.5710977
1683885712413152800,19.94715283203125,0,0,1.0146968364715576,15.133999824523926,0.08970855921506882,0,336.29998779296875,10.9948133,49.571096
1683885713425492200,20.9594921875,0,0,1.0346013307571411,14.553999900817871,0.09226176142692566,0,336.29998779296875,10.9948134,49.5710948
1683885713931665200,21.4656650390625,0,0,0.9853302240371704,14.494999885559082,0.09305446594953537,0,336.29998779296875,10.9948137,49.5710944
1683885714437821200,21.9718212890625,0,0,0.9853302240371704,13.284000396728516,0.11625336110591888,197.4235076904297,336.29998779296875,10.9948131,49.5710935
1683885714942510800,22.4765107421875,0,0,0.9982669949531555,13.23900032043457,0.15851368010044098,210.18759155273438,336.29998779296875,10.9948113,49.5710921
1683885715956335400,23.49033544921875,0,0,0.9982669949531555,13.656999588012695,0.2526291608810425,233.54766845703125,336.29998779296875,10.9948066,49.5710907
1683885716968675000,24.502675048828124,0,0,1.0155211687088013,14.965999603271484,0.5428738594055176,239.20126342773438,336.29998779296875,10.9947959,49.571087
1683885717981000000,25.515,0,0,1.025822401046753,17.29800033569336,0.8694667816162109,241.5357208251953,336.29998779296875,10.9947791,49.5710814
1683885718993346000,26.527345947265626,0,0,0.9786191582679749,21.715999603271484,1.139379858970642,243.7188262939453,336.29998779296875,10.9947592,49.5710757
1683885719499512300,27.03351220703125,0,0,0.9786191582679749,22.351999282836914,0.23804299533367157,310.5286560058594,336.29998779296875,10.9947913,49.5710934
1683885720020180000,27.554179931640626,0,0,0.9786191582679749,21.628000259399414,0.2831094264984131,353.4925842285156,336.29998779296875,10.9947973,49.571098
1683885720613081000,28.1470810546875,0,0,0.9949562549591064,22.400999069213867,0.3293500542640686,6.020414352416992,336.29998779296875,10.9948005,49.5711016
1683885721625403400,29.1594033203125,0,0,1.0062642097473145,23.077999114990234,0.3543878197669983,7.969779968261719,336.29998779296875,10.9948019,49.5711058
1683885722637747000,30.171746826171876,0,0,1.0062642097473145,23.795000076293945,0.38830193877220154,1.184043049812317,336.29998779296875,10.9947998,49.5711103
1683885724045000000,31.579,0,0,0.9732660055160522,21.743999481201172,0.12422574311494827,29.341873168945312,336.29998779296875,10.9948043,49.5710996
1683885726660878600,34.194878662109375,0,3.9977948665618896,0.9997038245201111,399,0.21607618033885956,172.15306091308594,336.29998779296875,10.9948065,49.5710895
1683885727684784000,35.2187841796875,0,4.135890007019043,1.009706735610962,399,0.389182448387146,224.0105743408203,336.29998779296875,10.9947969,49.571086
1683885728205554200,35.73955419921875,0,0,1.009706735610962,20.65399932861328,0.03634701296687126,0,336.29998779296875,10.9947983,49.5711072
1683885728662781400,36.19678149414062,0,4.538890838623047,1.0194984674453735,399,0.03571881353855133,0,336.29998779296875,10.994796,49.5711069
1683885729130000000,36.66399975585937,0,4.538890838623047,0.9679531455039978,400.4010009765625,0.034561656415462494,0,336.29998779296875,10.9947935,49.5711068
