time,seconds_elapsed,z,y,x
1683885692604486700,0.138486572265625,-36.99039840698242,-6.941799640655518,-12.639200210571289
1683885692614475500,0.1484755859375,-35.843597412109375,-7.576200008392334,-11.016599655151367
1683885692624486100,0.158486083984375,-37.234397888183594,-8.735199928283691,-10.028399467468262
1683885692634486000,0.168486083984375,-37.14899826049805,-9.637999534606934,-7.478600025177002
1683885692644476700,0.1784765625,-36.8317985534668,-10.638400077819824,-5.965799808502197
1683885692654475500,0.1884755859375,-36.50239944458008,-11.223999977111816,-5.270400047302246
1683885692664477700,0.198477783203125,-35.74599838256836,-12.492799758911133,-4.209000110626221
1683885692674500000,0.2085,-36.51459884643555,-13.224800109863281,-4.660399913787842
1683885692684486100,0.218486083984375,-35.624000549316406,-14.06659984588623,-4.721399784088135
1683885692694476000,0.22847607421875,-35.35559844970703,-14.38379955291748,-3.7941999435424805
1683885692704486400,0.238486328125,-34.379600524902344,-14.676599502563477,-2.244799852371216
1683885692714476300,0.248476318359375,-33.684200286865234,-14.42039966583252,-3.3794000148773193
1683885692724486100,0.258486083984375,-34.48939895629883,-13.432199478149414,-5.416800022125244
1683885692734486300,0.268486328125,-33.97700119018555,-12.273200035095215,-4.721399784088135
1683885692744469200,0.27846923828125,-35.86800003051758,-11.760799407958984,-6.563600063323975
1683885692754486500,0.288486572265625,-35.75819778442383,-10.90679931640625,-7.661599636077881
1683885692764486100,0.298486083984375,-35.86800003051758,-10.394399642944336,-8.356999397277832
1683885692774475800,0.308475830078125,-35.42879867553711,-10.125999450683594,-8.552199363708496
1683885692784498400,0.31849853515625,-36.05099868774414,-9.61359977722168,-7.795799732208252
1683885692794493200,0.3284931640625,-35.98999786376953,-9.345199584960938,-7.881199836730957
1683885692804476200,0.33847607421875,-36.526798248291016,-9.637999534606934,-8.308199882507324
1683885692814486300,0.348486328125,-35.78260040283203,-9.515999794006348,-7.685999870300293
1683885692824488200,0.35848828125,-35.257999420166016,-9.74779987335205,-7.063799858093262
1683885692834475800,0.368475830078125,-35.270198822021484,-10.357799530029297,-7.319999694824219
1683885692844486100,0.378486083984375,-35.1359977722168,-10.687199592590332,-6.295199871063232
1683885692854485200,0.3884853515625,-35.02619934082031,-10.772600173950195,-6.612400054931641
1683885692864486400,0.398486328125,-35.526397705078125,-11.724200248718262,-5.416800022125244
1683885692874486300,0.408486328125,-35.648399353027344,-12.151199340820312,-4.80679988861084
1683885692884476000,0.418475830078125,-34.635799407958984,-11.94379997253418,-4.379799842834473
1683885692894489900,0.42848974609375,-35.575199127197266,-12.724599838256836,-3.2818000316619873
1683885692904486100,0.438486083984375,-35.47760009765625,-13.334599494934082,-3.4159998893737793
1683885692914486500,0.448486572265625,-35.013999938964844,-13.40779972076416,-3.110999822616577
1683885692924486400,0.458486328125,-34.940799713134766,-13.566399574279785,-2.805999994277954
1683885692934481400,0.4684814453125,-34.45280075073242,-14.505799293518066,-2.244799852371216
1683885692944486100,0.478486083984375,-35.013999938964844,-14.786399841308594,-2.147199869155884
1683885692954486000,0.488486083984375,-34.79439926147461,-13.480999946594238,-3.013399839401245
1683885692964475600,0.4984755859375,-34.7333984375,-14.164199829101562,-2.427799940109253
1683885692974475500,0.5084755859375,-35.09939956665039,-13.651800155639648,-2.500999927520752
1683885692984486400,0.518486328125,-35.257999420166016,-13.40779972076416,-3.110999822616577
1683885692994486300,0.528486328125,-35.75819778442383,-13.529799461364746,-3.6355998516082764
1683885693004492000,0.538491943359375,-36.17300033569336,-12.870999336242676,-4.855599880218506
