time,seconds_elapsed,lux
1683885692473933600,0.00793359375,84.89250183105469
1683885692927120400,0.461120361328125,65.14250183105469
1683885694872136200,2.40613623046875,37.38249969482422
1683885696675384300,4.20938427734375,0.1512499898672104
1683885698620198400,6.154198486328125,0.9437499642372131
1683885700497809000,8.031808837890624,0.4362500011920929
1683885711230822400,18.764822509765626,0
1683885731065943800,38.59994384765625,7.606249809265137
1683885731138080500,38.67208056640625,13.607500076293945
1683885731246277600,38.78027758789062,19.396249771118164
1683885731441296600,38.975296630859376,31.01249885559082
1683885731738200300,39.27220043945312,33.529998779296875
1683885731837144300,39.371144287109374,37.39875030517578
1683885731936093200,39.47009326171875,40.27124786376953
1683885732232963600,39.76696362304688,35.87624740600586
1683885732430837200,39.964837158203125,32.44499969482422
1683885736310845000,43.84484497070312,37.88750076293945
1683885736664786400,44.19878637695312,54.07374954223633
1683885736764338400,44.29833837890625,49.80500030517578
1683885736819642000,44.35364208984375,46.03874969482422
1683885736841761500,44.37576147460938,42.1875
1683885737914579000,45.44857885742187,37.158748626708984
1683885738612841700,46.146841796875,18.292499542236328
1683885741930513400,49.464513427734374,16.872499465942383
1683885742029338000,49.56333813476562,18.53999900817871
1683885742523770600,50.0577705078125,15.880000114440918
1683885742820153300,50.3541533203125,17.818750381469727
1683885743018026800,50.55202685546875,19.622499465942383
1683885743215734500,50.749734619140625,18.10124969482422
1683885743314443300,50.848443359375,16.354999542236328
1683885743413293800,50.9472939453125,15.0337495803833
1683885743611139000,51.14513916015625,16.587499618530273
1683885743709998800,51.243998779296874,17.854999542236328
1683885743907731500,51.4417314453125,19.388750076293945
1683885744303221000,51.83722094726563,16.47249984741211
1683885744500939500,52.034939453125,15.086249351501465
1683885744698696000,52.23269604492187,16.744998931884766
1683885744797427500,52.331427490234375,18.07499885559082
1683885744995121400,52.52912133789062,20.206249237060547
1683885745192992300,52.7269921875,17.75874900817871
1683885745291866600,52.82586669921875,15.889999389648438
1683885745588436200,53.12243627929688,17.0987491607666
1683885745687325400,53.221325439453125,18.99625015258789
1683885745885076200,53.419076171875,20.43000030517578
1683885746181733000,53.71573315429688,18.125
1683885746280602400,53.814602294921876,16.188749313354492
1683885746675933000,54.20993286132813,17.84749984741211
1683885746873812200,54.407812255859376,20.131250381469727
1683885747170447400,54.704447265625,17.957500457763672
1683885747269327000,54.8033271484375,15.494999885559082
1683885747368038700,54.90203857421875,13.766249656677246
1683885747467043600,55.001043701171874,12.31624984741211
1683885747664788500,55.19878857421875,10.844999313354492
1683885747961216800,55.495216796875,13.983749389648438
1683885748060059400,55.59405932617187,21.524999618530273
1683885748257764600,55.7917646484375,38.26625061035156
1683885748356598000,55.890597900390624,51.099998474121094
1683885748455468000,55.989468017578126,61.849998474121094
1683885748752171300,56.28617114257813,54.02750015258789
1683885748851036000,56.38503588867187,45.69124984741211
1683885748949895700,56.48389575195313,41.59375
1683885749246475300,56.78047534179687,30.376249313354492
1683885749345354200,56.87935424804687,15.321249961853027
1683885749444202500,56.978202392578126,2.427500009536743
1683885749542935000,57.07693505859375,1.0799999237060547
1683885753101191400,60.63519140625,0.5412499904632568
1683885756659302100,64.19330224609375,2.1087498664855957
1683885756758124000,64.2921240234375,3.9574999809265137
1683885756856947500,64.39094750976562,5.566249847412109
1683885757054583300,64.58858325195312,4.78249979019165
1683885757153418500,64.68741845703126,4.202499866485596
1683885757803440600,65.33744067382813,4.875
1683885759350738700,66.88473876953125,7.142499923706055
