time,seconds_elapsed,relativeAltitude,pressure
1682879829646040300,0.199040283203125,0,983.7366943359375
1682879829671190000,0.22418994140625,-0.1056976318359375,983.7489013671875
1682879829696338400,0.24933837890625,0.0264129638671875,983.733642578125
1682879829721488600,0.274488525390625,0.18231201171875,983.71533203125
1682879829746628400,0.29962841796875,0.208740234375,983.7122802734375
1682879829771790600,0.32479052734375,0.0264129638671875,983.733642578125
1682879829796930800,0.349930908203125,-0.3646392822265625,983.7794189453125
1682879829822094600,0.375094482421875,-0.59979248046875,983.806884765625
1682879829847256000,0.400256103515625,-0.494110107421875,983.794677734375
1682879829872391700,0.4253916015625,-0.2880096435546875,983.770263671875
1682879829897539000,0.4505390625,-0.3382110595703125,983.7763671875
1682879829922689500,0.475689453125,-0.2880096435546875,983.770263671875
1682879829947837000,0.5008369140625,0.1030426025390625,983.7244873046875
1682879829972986000,0.525986083984375,0.3117828369140625,983.7000732421875
1682879829998135800,0.5511357421875,0.076629638671875,983.7275390625
1682879830023299600,0.576299560546875,-0.3646392822265625,983.7794189453125
1682879830048436200,0.601436279296875,-0.3646392822265625,983.7794189453125
1682879830073584600,0.626584716796875,-0.1056976318359375,983.7489013671875
1682879830098733600,0.651733642578125,-0.1056976318359375,983.7489013671875
1682879830123884000,0.676884033203125,-0.44390869140625,983.78857421875
1682879830149033700,0.70203369140625,-0.729278564453125,983.8220825195312
1682879830174180900,0.727180908203125,-0.98822021484375,983.8526611328125
1682879830199330300,0.752330322265625,-1.14410400390625,983.8709716796875
1682879830224479500,0.7774794921875,-1.093902587890625,983.8648071289062
1682879830249628400,0.80262841796875,-0.8587493896484375,983.83740234375
1682879830274777000,0.827777099609375,-0.676422119140625,983.8160400390625
1682879830299916300,0.852916259765625,-0.5733795166015625,983.8038330078125
1682879830325075200,0.8780751953125,-0.5469512939453125,983.80078125
1682879830350222600,0.90322265625,-0.8058929443359375,983.831298828125
1682879830375373600,0.92837353515625,-1.120330810546875,983.867919921875
1682879830400513500,0.953513427734375,-1.0674896240234375,983.86181640625
1682879830425661400,0.978661376953125,-0.7821197509765625,983.8282470703125
1682879830450822000,1.00382177734375,-0.626220703125,983.8099365234375
1682879830475965400,1.02896533203125,-0.494110107421875,983.794677734375
1682879830501113000,1.054113037109375,-0.494110107421875,983.794677734375
1682879830526267000,1.079266845703125,-0.8058929443359375,983.831298828125
1682879830551411200,1.1044111328125,-0.98822021484375,983.8526611328125
1682879830576558600,1.12955859375,-0.7821197509765625,983.8282470703125
1682879830601718000,1.154718017578125,-0.520538330078125,983.797607421875
1682879830626867000,1.179866943359375,-0.5469512939453125,983.8007202148438
1682879830652015600,1.205015625,-0.676422119140625,983.8159790039062
1682879830677164000,1.2301640625,-0.676422119140625,983.8159790039062
1682879830702312400,1.2553125,-0.7530517578125,983.8251342773438
1682879830727459800,1.2804599609375,-0.729278564453125,983.8220825195312
1682879830752599300,1.305599365234375,-0.5733795166015625,983.8037719726562
1682879830777757400,1.33075732421875,-0.494110107421875,983.7946166992188
1682879830802907400,1.355907470703125,-0.5971527099609375,983.8068237304688
1682879830828055300,1.38105517578125,-0.6235809326171875,983.8098754882812
1682879830853204000,1.406203857421875,-0.5733795166015625,983.8037719726562
1682879830878355200,1.431355224609375,-0.5971527099609375,983.8068237304688
1682879830903504400,1.45650439453125,-0.5469512939453125,983.8007202148438
1682879830928652500,1.481652587890625,-0.285369873046875,983.7702026367188
1682879830953790000,1.5067900390625,-0.258941650390625,983.7671508789062
1682879830978940000,1.53193994140625,-0.520538330078125,983.797607421875
1682879831004091400,1.55709130859375,-0.6500091552734375,983.8129272460938
1682879831029235500,1.5822353515625,-0.494110107421875,983.7946166992188
1682879831054381600,1.607381591796875,-0.3382110595703125,983.7762451171875
1682879831079530200,1.6325302734375,-0.4412689208984375,983.7885131835938
1682879831104671200,1.657671142578125,-0.702850341796875,983.8189697265625
1682879831129830700,1.68283056640625,-0.729278564453125,983.8220825195312
1682879831154982000,1.70798193359375,-0.494110107421875,983.7946166992188
1682879831180145400,1.7331455078125,-0.4412689208984375,983.7885131835938
1682879831205282800,1.75828271484375,-0.676422119140625,983.8159790039062
1682879831230430200,1.78343017578125,-0.4148406982421875,983.7854614257812
1682879831255578600,1.80857861328125,0.2351531982421875,983.7091674804688
1682879831280727800,1.833727783203125,0.5205230712890625,983.6755981445312
1682879831305865700,1.85886572265625,0.649993896484375,983.6603393554688
1682879831331008800,1.8840087890625,0.9644317626953125,983.6236572265625
1682879831356172500,1.909172607421875,1.3290557861328125,983.5809326171875
1682879831381309200,1.93430908203125,1.302642822265625,983.5840454101562
1682879831406457900,1.959457763671875,1.1203155517578125,983.6054077148438
1682879831431616500,1.984616455078125,0.9380035400390625,983.6267700195312
1682879831456764200,2.00976416015625,1.0146331787109375,983.6176147460938
1682879831481913300,2.034913330078125,1.50872802734375,983.5596313476562
1682879831507060200,2.060060302734375,2.3172760009765625,983.4650268554688
1682879831532210000,2.0852099609375,2.7849578857421875,983.4100952148438
1682879831557357800,2.11035791015625,2.88800048828125,983.3978881835938
1682879831582500600,2.13550048828125,2.9672698974609375,983.3887329101562
1682879831607656700,2.16065673828125,3.09674072265625,983.3734741210938
1682879831632804400,2.185804443359375,2.9936981201171875,983.3856201171875
1682879831657953000,2.210953125,2.655487060546875,983.4253540039062
1682879831683092000,2.236092041015625,2.420318603515625,983.4528198242188
1682879831708256300,2.26125634765625,2.0556793212890625,983.4955444335938
1682879831733387800,2.2863876953125,1.56158447265625,983.5535278320312
