time,seconds_elapsed,batteryLevel,batteryState,lowPowerMode
1682879830459000000,1.012,0.5799999833106995,unplugged,false
1682879831444000000,1.997,0.5799999833106995,unplugged,false
1682879832428000000,2.981,0.5799999833106995,unplugged,false
1682879833412000000,3.965,0.5799999833106995,unplugged,false
1682879834396000000,4.949,0.5799999833106995,unplugged,false
1682879835380000000,5.933,0.5799999833106995,unplugged,false
1682879836366000000,6.919000244140625,0.5799999833106995,unplugged,false
1682879837350000000,7.903000244140625,0.5799999833106995,unplugged,false
1682879838336000000,8.889,0.5799999833106995,unplugged,false
1682879839314000000,9.866999755859375,0.5799999833106995,unplugged,false
1682879840292000000,10.845,0.5799999833106995,unplugged,false
1682879841274000000,11.826999755859376,0.5799999833106995,unplugged,false
1682879842252000000,12.805,0.5799999833106995,unplugged,false
1682879843233000000,13.786,0.5799999833106995,unplugged,false
1682879844210000000,14.762999755859376,0.5799999833106995,unplugged,false
1682879845190000000,15.743000244140624,0.5799999833106995,unplugged,false
1682879846169000000,16.722,0.5799999833106995,unplugged,false
1682879847149000000,17.702,0.5799999833106995,unplugged,false
1682879848130000000,18.682999755859374,0.5799999833106995,unplugged,false
1682879849110000000,19.663000244140626,0.5799999833106995,unplugged,false
1682879850087000000,20.64,0.5799999833106995,unplugged,false
1682879851068000000,21.621,0.5799999833106995,unplugged,false
1682879852046000000,22.599000244140626,0.5799999833106995,unplugged,false
