time,seconds_elapsed,relativeAltitude,pressure
1682880508785471700,5.7434716796875,-0.3910675048828125,983.84130859375
1682880508810607400,5.768607421875,-0.6500091552734375,983.871826171875
1682880508835751200,5.793751220703125,-0.8587493896484375,983.896240234375
1682880508860893000,5.818892822265625,-1.3000030517578125,983.9481201171875
1682880508886021400,5.844021484375,-1.4823150634765625,983.969482421875
1682880508911171300,5.86917138671875,-1.4823150634765625,983.969482421875
1682880508936299800,5.8942998046875,-3.173370361328125,984.1678466796875
1682880508961438000,5.91943798828125,-5.9583282470703125,984.494384765625
1682880508986577200,5.9445771484375,-6.0613861083984375,984.506591796875
1682880509011714000,5.969714111328125,-3.434967041015625,984.1983642578125
1682880509036852000,5.99485205078125,-0.6235809326171875,983.8687744140625
1682880509061992700,6.01999267578125,0.7028350830078125,983.713134765625
1682880509087134700,6.045134765625,0.5733642578125,983.7283325195312
1682880509112266500,6.0702666015625,-0.0528564453125,983.8016357421875
1682880509137415000,6.095414794921875,0.5469512939453125,983.7314453125
1682880509162553300,6.12055322265625,2.7849578857421875,983.468994140625
1682880509187692300,6.1456923828125,4.2408447265625,983.298095703125
1682880509212820700,6.17082080078125,3.6172637939453125,983.371337890625
1682880509237971000,6.195970947265625,2.629058837890625,983.4873046875
1682880509263110000,6.22110986328125,2.13494873046875,983.5452880859375
1682880509288249600,6.24624951171875,1.6646270751953125,983.6002197265625
1682880509313391000,6.27139111328125,1.6144256591796875,983.6063232421875
1682880509338531000,6.296531005859375,1.50872802734375,983.6185302734375
1682880509363671000,6.321671142578125,1.041046142578125,983.6734619140625
1682880509388811800,6.346811767578125,0.676422119140625,983.7161865234375
1682880509413949400,6.371949462890625,0.5205230712890625,983.7344970703125
1682880509439088400,6.39708837890625,0.5469512939453125,983.7314453125
1682880509464227300,6.422227294921875,0.4940948486328125,983.737548828125
1682880509489367800,6.447367919921875,0.39105224609375,983.7496948242188
1682880509514507500,6.472507568359375,0.4940948486328125,983.737548828125
1682880509539647200,6.497647216796875,0.2351531982421875,983.76806640625
1682880509564785200,6.52278515625,-0.5469512939453125,983.859619140625
1682880509589926100,6.547926025390625,-0.98822021484375,983.9114990234375
1682880509615063600,6.5730634765625,-0.520538330078125,983.8565673828125
1682880509640190700,6.598190673828125,-0.1294708251953125,983.810791015625
1682880509665330700,6.62333056640625,0.2853546142578125,983.761962890625
1682880509690476000,6.64847607421875,0.1558837890625,983.7772216796875
1682880509715608600,6.673608642578125,-1.2233734130859375,983.93896484375
1682880509740750800,6.698750732421875,-2.6290740966796875,984.103759765625
1682880509765881900,6.7238818359375,-1.6910552978515625,983.993896484375
1682880509791033600,6.74903369140625,0.5205230712890625,983.7344970703125
1682880509816171300,6.774171142578125,1.1203155517578125,983.664306640625
1682880509841300200,6.79930029296875,0.5971527099609375,983.725341796875
1682880509866448100,6.8244482421875,0.3382110595703125,983.755859375
1682880509891575800,6.849575927734375,0.1294708251953125,983.7802734375
1682880509916725200,6.874725341796875,-0.520538330078125,983.8565673828125
1682880509941863400,6.899863525390625,-0.5971527099609375,983.86572265625
1682880509967001300,6.92500146484375,-0.0792694091796875,983.8046875
1682880509992141000,6.95014111328125,0.2351531982421875,983.76806640625
1682880510017268500,6.9752685546875,-0.5971527099609375,983.86572265625
1682880510042419700,7.000419677734375,-0.285369873046875,983.8291015625
1682880510067559400,7.025559326171875,0.676422119140625,983.7161865234375
1682880510092689700,7.050689697265625,-1.9526519775390625,984.0244140625
1682880510117840400,7.07584033203125,-6.9465484619140625,984.6103515625
1682880510142970600,7.100970703125,-6.7906494140625,984.592041015625
1682880510168108300,7.1261083984375,-1.5087432861328125,983.9725341796875
1682880510193248500,7.15124853515625,1.6910552978515625,983.59716796875
1682880510218389200,7.17638916015625,0.7292633056640625,983.7100830078125
1682880510243527400,7.20152734375,0.414825439453125,983.7467041015625
1682880510268667100,7.226667236328125,1.249786376953125,983.6490478515625
1682880510293808000,7.25180810546875,0.5205230712890625,983.7344970703125
1682880510318953200,7.276953125,0,983.7955322265625
1682880510344081700,7.30208154296875,1.1203155517578125,983.664306640625
1682880510369226000,7.32722607421875,2.4731597900390625,983.505615234375
1682880510394364000,7.352364013671875,2.3410491943359375,983.5208740234375
1682880510419514400,7.377514404296875,1.3792572021484375,983.6337890625
1682880510444654000,7.402654052734375,0.649993896484375,983.71923828125
1682880510469793300,7.427793212890625,0.8058929443359375,983.700927734375
1682880510494932700,7.4529326171875,0.9882049560546875,983.6795654296875
1682880510520071700,7.47807177734375,0.858734130859375,983.69482421875
1682880510545211000,7.5032109375,0.3117828369140625,983.7589111328125
1682880510570348300,7.528348388671875,0.0528411865234375,983.7894287109375
1682880510595487700,7.55348779296875,0.208740234375,983.7711181640625
1682880510620626000,7.5786259765625,0.2853546142578125,983.761962890625
1682880510645764000,7.60376416015625,0.18231201171875,983.774169921875
1682880510670904000,7.628904052734375,-0.208740234375,983.8199462890625
1682880510696041200,7.654041259765625,-0.258941650390625,983.8260498046875
1682880510721180000,7.679179931640625,0.1294708251953125,983.7802734375
1682880510746320100,7.704320068359375,-0.5971527099609375,983.86572265625
1682880510771449000,7.729448974609375,-1.4823150634765625,983.969482421875
1682880510796599000,7.75459912109375,-1.638214111328125,983.98779296875
1682880510821726200,7.779726318359375,-2.4969482421875,984.0885009765625
1682880510846875000,7.804875,-4.0849609375,984.274658203125
1682880510872003300,7.83000341796875,-3.3556976318359375,984.189208984375
1682880510897134000,7.855134033203125,0,983.7955322265625
1682880510922280700,7.88028076171875,2.211578369140625,983.5361328125
1682880510947437600,7.9054375,1.8997955322265625,983.57275390625
1682880510972564500,7.930564453125,1.35284423828125,983.6368408203125
1682880510997711600,7.955711669921875,1.093902587890625,983.6673583984375
1682880511022848300,7.98084814453125,0.3382110595703125,983.755859375
1682880511047987700,8.00598779296875,0.0264129638671875,983.79248046875
1682880511073125600,8.031125732421875,-0.1823272705078125,983.81689453125
1682880511098264000,8.05626416015625,-0.885162353515625,983.8992919921875
1682880511123393800,8.081393798828126,-1.9262237548828125,984.0213623046875
1682880511148542000,8.1065419921875,-2.055694580078125,984.03662109375
1682880511173680600,8.1316806640625,-1.2498016357421875,983.9420166015625
1682880511198808000,8.15680810546875,-1.3264312744140625,983.951171875
1682880511223963600,8.181963623046874,-2.6792755126953125,984.10986328125
1682880511249097200,8.20709716796875,-3.1469573974609375,984.164794921875
1682880511274233900,8.23223388671875,-2.1349639892578125,984.0457763671875
1682880511299371800,8.257371826171875,-1.5087432861328125,983.9725341796875
1682880511324509400,8.282509521484375,-1.7174835205078125,983.9969482421875
1682880511349648600,8.307648681640625,-1.2498016357421875,983.9420166015625
1682880511374785000,8.332784912109375,-0.0528564453125,983.8016357421875
1682880511399915300,8.357915283203125,0.467681884765625,983.7406005859375
1682880511425051400,8.383051513671875,0.8058929443359375,983.700927734375
1682880511450191400,8.40819140625,1.4823150634765625,983.62158203125
1682880511475327000,8.433326904296875,2.0556793212890625,983.5543823242188
1682880511500466000,8.4584658203125,2.002838134765625,983.560546875
1682880511525604000,8.48360400390625,1.4321136474609375,983.627685546875
1682880511550734300,8.508734375,0.8058929443359375,983.700927734375
1682880511575892000,8.53389208984375,0.8058929443359375,983.700927734375
1682880511601019000,8.559018798828125,1.29998779296875,983.6429443359375
1682880511626152000,8.58415185546875,1.1969451904296875,983.6551513671875
1682880511651289000,8.6092890625,0.39105224609375,983.7496948242188
1682880511676436500,8.6344365234375,0.0264129638671875,983.79248046875
1682880511701569800,8.65956982421875,0.2853546142578125,983.761962890625
1682880511726715000,8.68471484375,0.3117828369140625,983.7589111328125
1682880511751863300,8.70986328125,-0.02642822265625,983.798583984375
1682880511776990700,8.73499072265625,-0.208740234375,983.8199462890625
1682880511802129700,8.760129638671875,-0.0528564453125,983.8016357421875
1682880511827268000,8.78526806640625,0.1294708251953125,983.7802734375
1682880511852405800,8.81040576171875,0.1030426025390625,983.7833251953125
1682880511877542400,8.83554248046875,-0.02642822265625,983.798583984375
1682880511902679300,8.86067919921875,-0.208740234375,983.8199462890625
