time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1682880503214641700,0.1726416015625,-0.9441220164299011,-0.2001286894083023,0.009052976965904236,0.26172539591789246,-0.09502676129341125,-0.3926418721675873,2.5818300247192383
1682880503231498000,0.189498046875,-0.9458873867988586,-0.2022741436958313,-0.005208324640989304,0.2536833584308624,-0.1219044178724289,-0.38981205224990845,2.5934391021728516
1682880503248386800,0.20638671875,-0.9473554491996765,-0.2042495608329773,-0.013733911328017712,0.2461938112974167,-0.13730300962924957,-0.39004650712013245,2.6059281826019287
1682880503265259500,0.223259521484375,-0.948590874671936,-0.20489713549613953,-0.015128162689507008,0.24075661599636078,-0.13821834325790405,-0.391356498003006,2.61704158782959
1682880503282130700,0.240130615234375,-0.9498181939125061,-0.20481252670288086,-0.01734490692615509,0.23578888177871704,-0.14055666327476501,-0.3907584846019745,2.6270768642425537
1682880503299009800,0.257009765625,-0.9510501027107239,-0.20516397058963776,-0.024417756125330925,0.22981595993041992,-0.15268531441688538,-0.3887362480163574,2.6372814178466797
1682880503315869400,0.273869384765625,-0.9522430300712585,-0.20672038197517395,-0.03677992522716522,0.22169159352779388,-0.1755148470401764,-0.38697466254234314,2.649646520614624
1682880503332753700,0.290753662109375,-0.9531046152114868,-0.20985625684261322,-0.05311956629157066,0.21149539947509766,-0.2066815197467804,-0.3871607780456543,2.6642098426818848
1682880503349627400,0.30762744140625,-0.9530500769615173,-0.21466650068759918,-0.07046229392290115,0.20161555707454681,-0.24119296669960022,-0.3906216025352478,2.6767051219940186
1682880503366501000,0.324501220703125,-0.9519530534744263,-0.22030168771743774,-0.08599977940320969,0.1945674866437912,-0.2738257646560669,-0.3962571322917938,2.6830649375915527
1682880503383363600,0.341363525390625,-0.9504951238632202,-0.225028857588768,-0.10212382674217224,0.188392773270607,-0.30764225125312805,-0.3998703062534332,2.6874377727508545
1682880503400248600,0.35824853515625,-0.9491168856620789,-0.22775128483772278,-0.12064618617296219,0.18097272515296936,-0.34481528401374817,-0.39917445182800293,2.6943466663360596
1682880503417104100,0.375104248046875,-0.9473461508750916,-0.2289053201675415,-0.14293520152568817,0.17235764861106873,-0.3885404169559479,-0.3945937752723694,2.7030351161956787
1682880503433995500,0.39199560546875,-0.9442164301872253,-0.2300165295600891,-0.1688762754201889,0.1644040197134018,-0.4404209554195404,-0.3885456919670105,2.708789110183716
1682880503450865200,0.408865234375,-0.9396719336509705,-0.23284763097763062,-0.195722758769989,0.15649716556072235,-0.49573901295661926,-0.3858433961868286,2.7127370834350586
1682880503467742500,0.425742431640625,-0.9339730739593506,-0.23874355852603912,-0.2229190617799759,0.14492399990558624,-0.5530626773834229,-0.3912535011768341,2.7213504314422607
1682880503484616400,0.442616455078125,-0.9263118505477905,-0.24624474346637726,-0.25466644763946533,0.12827621400356293,-0.6202172636985779,-0.40156957507133484,2.736126661300659
1682880503501486000,0.459486083984375,-0.916395366191864,-0.25217169523239136,-0.2912255823612213,0.10870415717363358,-0.6969035267829895,-0.41027671098709106,2.754570245742798
1682880503518357000,0.47635693359375,-0.9103214144706726,-0.2512211203575134,-0.315828800201416,0.0919511467218399,-0.744456946849823,-0.4107557237148285,2.777949094772339
1682880503535237400,0.4932373046875,-0.9085612893104553,-0.24664171040058136,-0.327664315700531,0.07950061559677124,-0.763075053691864,-0.40724289417266846,2.8017308712005615
1682880503552110600,0.510110595703125,-0.909150242805481,-0.2438947856426239,-0.32981568574905396,0.07199208438396454,-0.7633321285247803,-0.4071411192417145,2.818228244781494
1682880503568984300,0.526984375,-0.9109567999839783,-0.24349161982536316,-0.32546380162239075,0.0703059732913971,-0.7527399063110352,-0.4091793894767761,2.823901653289795
1682880503585847300,0.543847412109375,-0.9121553301811218,-0.24417456984519958,-0.32100793719291687,0.07283922284841537,-0.7441543936729431,-0.41008397936820984,2.8202595710754395
1682880503602731800,0.560731689453125,-0.9115904569625854,-0.24464446306228638,-0.32155951857566833,0.07583913207054138,-0.7467635869979858,-0.4085265100002289,2.813633918762207
1682880503619605200,0.577605224609375,-0.9094527363777161,-0.24329696595668793,-0.32803529500961304,0.07807210832834244,-0.7610041499137878,-0.40205833315849304,2.8076586723327637
1682880503636478700,0.594478759765625,-0.9074735641479492,-0.2385430634021759,-0.33622458577156067,0.08088270574808121,-0.7767786383628845,-0.3882330358028412,2.8032686710357666
1682880503653352400,0.6113525390625,-0.9070757031440735,-0.23212045431137085,-0.3409130573272705,0.08433254808187485,-0.783744752407074,-0.3721311390399933,2.8009135723114014
1682880503670225700,0.6282255859375,-0.9090119004249573,-0.226642906665802,-0.3385748565196991,0.08773553371429443,-0.7758060693740845,-0.36038240790367126,2.8005588054656982
1682880503687099100,0.64509912109375,-0.9126671552658081,-0.22360704839229584,-0.3296239674091339,0.09157891571521759,-0.7551758885383606,-0.3552069365978241,2.799436092376709
1682880503703973000,0.66197314453125,-0.9170836806297302,-0.22300554811954498,-0.3163214325904846,0.09574385732412338,-0.7268775701522827,-0.3559252917766571,2.796940565109253
1682880503720846600,0.6788466796875,-0.9216421842575073,-0.224229633808136,-0.3001956641674042,0.10089227557182312,-0.6941247582435608,-0.36050212383270264,2.7918856143951416
1682880503737702700,0.69570263671875,-0.9255171418190002,-0.2259589582681656,-0.2842458188533783,0.10754023492336273,-0.6627968549728394,-0.3651849627494812,2.7833399772644043
1682880503754591500,0.712591552734375,-0.9289377331733704,-0.22541871666908264,-0.2704392969608307,0.11455917358398438,-0.6349514126777649,-0.36488011479377747,2.775090217590332
1682880503771469300,0.72946923828125,-0.9321038126945496,-0.22137579321861267,-0.26014453172683716,0.12041673809289932,-0.6121545433998108,-0.35761263966560364,2.7705352306365967
1682880503788341200,0.74634130859375,-0.9348064064979553,-0.21375669538974762,-0.2547014355659485,0.12478912621736526,-0.5970978140830994,-0.34274566173553467,2.769754648208618
1682880503805215200,0.76321533203125,-0.9370076656341553,-0.2036851942539215,-0.25250348448753357,0.12950299680233002,-0.5876622796058655,-0.3218364715576172,2.7687597274780273
1682880503822081000,0.7800810546875,-0.9385383725166321,-0.19467103481292725,-0.2509380280971527,0.1352004110813141,-0.5805870294570923,-0.3021344244480133,2.7645649909973145
1682880503838961200,0.796961181640625,-0.9389378428459167,-0.18920595943927765,-0.25017961859703064,0.14144642651081085,-0.5774567127227783,-0.28851744532585144,2.7563071250915527
1682880503855824600,0.81382470703125,-0.938406229019165,-0.1863994598388672,-0.2507937252521515,0.14748410880565643,-0.5786516070365906,-0.27948495745658875,2.7461204528808594
1682880503872709000,0.830709228515625,-0.9372432827949524,-0.18479786813259125,-0.2531225383281708,0.15281938016414642,-0.5839000940322876,-0.2723931074142456,2.7360055446624756
1682880503889582600,0.84758251953125,-0.9358227252960205,-0.18352532386779785,-0.2574479579925537,0.15580403804779053,-0.5928789973258972,-0.2664117217063904,2.729829788208008
1682880503906456300,0.864456298828125,-0.9345352649688721,-0.18181823194026947,-0.26327791810035706,0.15579108893871307,-0.6039925813674927,-0.2607429027557373,2.7295761108398438
