time,seconds_elapsed,qz,qy,qx,qw,roll,pitch,yaw
1682879936178236000,0.20223583984375,-0.9324455261230469,-0.22144675254821777,0.07596001029014587,0.2752031683921814,0.022201910614967346,-0.4721284806728363,2.572946786880493
1682879936195102700,0.219102783203125,-0.936936616897583,-0.20787496864795685,0.051858432590961456,0.27613142132759094,-0.019404683262109756,-0.4314306974411011,2.564134120941162
1682879936211993300,0.235993408203125,-0.9391145706176758,-0.19696089625358582,0.024450737982988358,0.2804861068725586,-0.06997274607419968,-0.3937497138977051,2.547156810760498
1682879936228860200,0.252860107421875,-0.9387815594673157,-0.19047848880290985,-0.0026879676152020693,0.2870539128780365,-0.1227349191904068,-0.36408260464668274,2.5254831314086914
1682879936245730000,0.26972998046875,-0.9371769428253174,-0.18638800084590912,-0.0222304780036211,0.294048935174942,-0.16133655607700348,-0.3429676592350006,2.5055274963378906
1682879936262610400,0.2866103515625,-0.9362128973007202,-0.18264396488666534,-0.032466523349285126,0.2984837591648102,-0.180393248796463,-0.3284812271595001,2.494351387023926
1682879936279471900,0.303471923828125,-0.936360239982605,-0.1805858165025711,-0.03168312832713127,0.2993568181991577,-0.17763003706932068,-0.32490384578704834,2.4935388565063477
1682879936296346000,0.32034619140625,-0.9370452165603638,-0.1832941174507141,-0.024904366582632065,0.2961914837360382,-0.16514067351818085,-0.33498695492744446,2.5013034343719482
1682879936313217800,0.3372177734375,-0.9373533129692078,-0.18984802067279816,-0.018942344933748245,0.29149240255355835,-0.15638110041618347,-0.352096289396286,2.5107312202453613
1682879936330091000,0.354091064453125,-0.9380612969398499,-0.1956293284893036,-0.019283894449472427,0.2853040099143982,-0.15883730351924896,-0.36400648951530457,2.5217955112457275
1682879936346960100,0.370960205078125,-0.9391515254974365,-0.2010001242160797,-0.026843944564461708,0.27725958824157715,-0.17459020018577576,-0.3711138367652893,2.5346009731292725
1682879936363831600,0.38783154296875,-0.9388697147369385,-0.21054063737392426,-0.04113340750336647,0.26926639676094055,-0.20693837106227875,-0.38244372606277466,2.542790412902832
1682879936380698600,0.40469873046875,-0.9360807538032532,-0.2254982590675354,-0.06014781445264816,0.2632214426994324,-0.2539910078048706,-0.40117982029914856,2.5414488315582275
1682879936397574100,0.42157421875,-0.931910514831543,-0.2415400892496109,-0.08271289616823196,0.2576041519641876,-0.3100394606590271,-0.41979485750198364,2.535651206970215
1682879936414445800,0.43844580078125,-0.9284266233444214,-0.2546643018722534,-0.10597070306539536,0.24887818098068237,-0.3645442724227905,-0.4335848391056061,2.5366299152374268
1682879936431317000,0.45531689453125,-0.9270319938659668,-0.2627356946468353,-0.12383508682250977,0.23716360330581665,-0.4028191864490509,-0.4427107274532318,2.5488412380218506
1682879936448189200,0.472189208984375,-0.9261099100112915,-0.26836737990379333,-0.13655933737754822,0.2272685468196869,-0.42946064472198486,-0.45004281401634216,2.560542106628418
1682879936465059300,0.489059326171875,-0.9241700768470764,-0.27456894516944885,-0.14797955751419067,0.22050797939300537,-0.4555617570877075,-0.45808959007263184,2.5651705265045166
1682879936481930500,0.505930419921875,-0.9215545058250427,-0.28105661273002625,-0.16005626320838928,0.2147710770368576,-0.48401010036468506,-0.46594473719596863,2.5666520595550537
1682879936498803000,0.522802978515625,-0.919328510761261,-0.28572049736976624,-0.16997785866260529,0.2104908674955368,-0.5071653723716736,-0.4710076153278351,2.567213773727417
1682879936515673900,0.539673828125,-0.9183600544929504,-0.28688907623291016,-0.17510083317756653,0.20892395079135895,-0.5183298587799072,-0.47099077701568604,2.5671513080596924
1682879936532545000,0.556544921875,-0.919101893901825,-0.2836377024650574,-0.1748909056186676,0.210272416472435,-0.5154935121536255,-0.4643418490886688,2.5672812461853027
1682879936549405400,0.573405517578125,-0.9209280610084534,-0.27937695384025574,-0.17148396372795105,0.21079237759113312,-0.5046349167823792,-0.45813605189323425,2.571484088897705
1682879936566284500,0.590284423828125,-0.9225764274597168,-0.27792730927467346,-0.16726739704608917,0.20887988805770874,-0.4935438632965088,-0.4588761627674103,2.578751564025879
1682879936583151900,0.60715185546875,-0.9236847162246704,-0.27830955386161804,-0.16214048862457275,0.20751091837882996,-0.48242855072021484,-0.4632396697998047,2.5837080478668213
1682879936600027600,0.624027587890625,-0.9239111542701721,-0.2790539860725403,-0.1591366082429886,0.20782826840877533,-0.4769073724746704,-0.4662010371685028,2.5837767124176025
1682879936616903000,0.64090283203125,-0.9234819412231445,-0.27958059310913086,-0.15973502397537231,0.20856831967830658,-0.47899875044822693,-0.4664786159992218,2.5814571380615234
1682879936633775000,0.657775146484375,-0.9231048226356506,-0.2791904807090759,-0.16205058991909027,0.20897340774536133,-0.48372846841812134,-0.4642089903354645,2.579848527908325
1682879936650646800,0.674646728515625,-0.923170804977417,-0.2786177694797516,-0.16282238066196442,0.20884624123573303,-0.48478102684020996,-0.4627537727355957,2.580256938934326
1682879936667513900,0.691513916015625,-0.9235326647758484,-0.2794548273086548,-0.16033364832401276,0.2080521583557129,-0.4798997640609741,-0.4661560356616974,2.5824012756347656
1682879936684390700,0.708390625,-0.9236091375350952,-0.2807607054710388,-0.15907980501651764,0.20691342651844025,-0.4778671860694885,-0.46989744901657104,2.584333658218384
1682879936701248800,0.725248779296875,-0.9234597682952881,-0.28016138076782227,-0.16118600964546204,0.20676252245903015,-0.48170748353004456,-0.4676401913166046,2.584188938140869
1682879936718130700,0.742130615234375,-0.9229526519775391,-0.2791650891304016,-0.16406942903995514,0.2081025093793869,-0.48754578828811646,-0.46343761682510376,2.5808205604553223
