time,seconds_elapsed,lux
1682879936002012400,0.026012451171875,3.254999876022339
1682879936367084500,0.39108447265625,5.492499828338623
1682879936743243500,0.767243408203125,9.643750190734863
1682879937774117400,1.798117431640625,10.572500228881836
1682879937807079700,1.83107958984375,19.631250381469727
1682879937914931200,1.93893115234375,11.10374927520752
1682879937970269200,1.994269287109375,10.1274995803833
1682879938224722700,2.24872265625,6.402499675750732
1682879938579678700,2.6036787109375,0
1682879942174481700,6.198481689453125,0.6162499785423279
1682879952459783000,16.483782958984374,0.08874999731779099
1682879953073349600,17.097349609375,0
1682879965106721800,29.1307216796875,2.021250009536743
1682879965304692200,29.328692138671876,2.669999837875366
1682879969187387000,33.21138696289062,3.6912498474121094
