time,seconds_elapsed,relativeAltitude,pressure
1682879936172481300,0.196481201171875,0,984.099853515625
1682879936197622000,0.2216220703125,1.5351715087890625,983.9197998046875
1682879936222783500,0.246783447265625,3.799591064453125,983.654296875
1682879936247931400,0.271931396484375,3.799591064453125,983.654296875
1682879936273079000,0.2970791015625,2.96728515625,983.751953125
1682879936298227200,0.322227294921875,3.0967559814453125,983.7366943359375
1682879936323365000,0.347365234375,2.6290740966796875,983.7916259765625
1682879936348525600,0.372525634765625,1.1176910400390625,983.9686279296875
1682879936373664500,0.39766455078125,0.4676971435546875,984.044921875
1682879936398814500,0.422814453125,0.676422119140625,984.0205078125
1682879936423963000,0.447962890625,0.3382110595703125,984.0601196289062
1682879936449113300,0.47311328125,-0.858734130859375,984.2005615234375
1682879936474262500,0.498262451171875,-2.393890380859375,984.380615234375
1682879936499415000,0.5234150390625,-3.2764129638671875,984.484375
1682879936524563700,0.548563720703125,-2.5497894287109375,984.39892578125
1682879936549716200,0.57371630859375,-0.3646240234375,984.142578125
1682879936574876200,0.598876220703125,0.729278564453125,984.014404296875
1682879936600014600,0.6240146484375,0,984.099853515625
1682879936625170700,0.649170654296875,-0.467681884765625,984.15478515625
1682879936650320100,0.674320068359375,-0.258941650390625,984.13037109375
1682879936675469600,0.699469482421875,-1.1705169677734375,984.2371826171875
1682879936700620300,0.724620361328125,-3.2262115478515625,984.478271484375
1682879936725771000,0.74977099609375,-4.1615753173828125,984.588134765625
1682879936750920000,0.774919921875,-3.84979248046875,984.551513671875
1682879936776055300,0.80005517578125,-3.2764129638671875,984.484375
1682879936801219000,0.825218994140625,-2.444091796875,984.38671875
1682879936826370300,0.850370361328125,-1.223358154296875,984.2432861328125
1682879936851518000,0.87551806640625,-0.3382110595703125,984.1395263671875
1682879936876668400,0.90066845703125,0.4676971435546875,984.044921875
1682879936901821000,0.925821044921875,1.3000030517578125,983.947265625
1682879936926969600,0.950969482421875,1.846954345703125,983.8831787109375
1682879936952120000,0.9761201171875,2.0028533935546875,983.8648071289062
1682879936977270800,1.001270751953125,2.15875244140625,983.8465576171875
1682879937002419700,1.026419677734375,2.341064453125,983.8251953125
1682879937027570200,1.051570068359375,2.446746826171875,983.81298828125
1682879937052720600,1.076720703125,2.341064453125,983.8251953125
1682879937077859000,1.101859130859375,2.2115936279296875,983.8404541015625
1682879937103019500,1.12701953125,2.31463623046875,983.8282470703125
1682879937128158700,1.15215869140625,2.5498046875,983.80078125
1682879937153314300,1.177314208984375,2.5762176513671875,983.7977294921875
1682879937178457900,1.202457763671875,2.4705352783203125,983.8099365234375
1682879937203617500,1.227617431640625,2.3939056396484375,983.819091796875
1682879937228767500,1.252767578125,2.4969635009765625,983.806884765625
1682879937253906000,1.277906005859375,2.4705352783203125,983.8099365234375
1682879937279066000,1.303066162109375,1.9526519775390625,983.8709716796875
1682879937304212200,1.328212158203125,1.1441192626953125,983.965576171875
1682879937329362400,1.353362548828125,0.8323211669921875,984.002197265625
1682879937354512100,1.37851220703125,1.1705322265625,983.9625244140625
1682879937379660500,1.40366064453125,1.3264312744140625,983.9442138671875
1682879937404809000,1.42880908203125,1.2498016357421875,983.953369140625
1682879937429946000,1.453946044921875,1.2762298583984375,983.9503173828125
1682879937455105500,1.47910546875,1.093902587890625,983.9716796875
1682879937480253700,1.504253662109375,0.8323211669921875,984.002197265625
1682879937505404200,1.529404052734375,1.0146331787109375,983.9808349609375
1682879937530567000,1.55456689453125,1.3792724609375,983.9381103515625
1682879937555703300,1.579703369140625,1.5087432861328125,983.9228515625
1682879937580852500,1.6048525390625,0.9617919921875,983.9869384765625
1682879937606002400,1.63000244140625,0.520538330078125,984.0387573242188
1682879937631153000,1.65515283203125,-0.467681884765625,984.15478515625
1682879937656292400,1.680292236328125,-3.9528350830078125,984.563720703125
1682879937681451800,1.70545166015625,-9.594085693359375,985.2259521484375
1682879937706591700,1.730591796875,-14.220718383789062,985.7691650390625
1682879937731739600,1.75573974609375,-16.091445922851562,985.9888916015625
1682879937756888000,1.78088818359375,-14.920913696289062,985.8515625
1682879937782033400,1.806033447265625,-9.620513916015625,985.22900390625
1682879937807190000,1.83118994140625,-0.7794647216796875,984.19140625
1682879937832342500,1.856342529296875,6.7932891845703125,983.3033447265625
1682879937857501000,1.8815009765625,9.96929931640625,982.9310302734375
1682879937882642000,1.906641845703125,11.375,982.7662353515625
1682879937907791400,1.931791259765625,12.598358154296875,982.622802734375
1682879937932952300,1.956952392578125,12.886383056640625,982.5892333984375
1682879937958100700,1.982100830078125,11.92193603515625,982.7021484375
1682879937983251700,2.007251708984375,10.542694091796875,982.8638916015625
1682879938008402200,2.032402099609375,9.498977661132812,982.9859619140625
1682879938033552400,2.057552490234375,9.18719482421875,983.0225830078125
1682879938058699800,2.08269970703125,9.39593505859375,982.9981689453125
1682879938083850500,2.1078505859375,9.057723999023438,983.037841796875
1682879938108999200,2.132999267578125,8.431503295898438,983.111083984375
1682879938134149000,2.158149169921875,8.875411987304688,983.0592041015625
1682879938159300900,2.18330078125,9.1607666015625,983.025634765625
1682879938184449300,2.20844921875,7.2873992919921875,983.245361328125
1682879938209589200,2.23358935546875,4.293701171875,983.5963134765625
1682879938234748000,2.258747802734375,2.835174560546875,983.7672119140625
1682879938259897000,2.28389697265625,2.8615875244140625,983.76416015625
1682879938285046000,2.3090458984375,3.4613800048828125,983.6939697265625
1682879938310194700,2.334194580078125,3.876220703125,983.6451416015625
1682879938335345200,2.35934521484375,4.05853271484375,983.623779296875
